Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,1083318272,11338,1
0.08,64.5,1083318272,1682506,1
0.14,359.8,1083318272,64695370,1
0.2,413.4,1083318272,126430282,1
0.27,367.0,1083318272,187722826,1
0.33,384.7,1083318272,249441354,1
0.39,386.0,1083318272,310619210,1
0.44,384.8,1083318272,372247626,1
0.5,371.0,1083318272,431950922,1
0.56,388.9,1083318272,492579914,1
0.62,389.1,1083318272,552897610,1
0.68,372.9,1083318272,613674058,1
0.74,371.9,1083318272,675236938,1
0.8,405.5,1083318272,736242762,1
0.86,390.5,1083318272,797338698,1
0.92,389.6,1083318272,858434634,1
0.98,389.6,1083318272,920202314,1
1.04,372.4,1083318272,981249098,1
1.1,406.3,1083318272,1042803786,1
1.15,386.4,1083318272,1103653962,1
1.21,371.4,1083318272,1164323914,1
1.27,369.1,1083318272,1225796682,1
1.33,389.3,1083318272,1286581322,1
1.39,405.8,1083318272,1347931210,1
1.45,371.5,1083318272,1408003146,1
1.51,389.7,1083318272,1469123658,1
1.57,372.3,1083318272,1529891914,1
1.63,389.3,1083318272,1591086154,1
1.69,388.8,1083318272,1651838026,1
1.75,389.0,1083318272,1713835082,1
1.81,371.3,1083318272,1773685834,1
1.87,406.4,1083318272,1834593354,1
1.92,389.2,1083318272,1896426570,1
1.98,372.4,1083318272,1957039178,1
2.04,388.5,1083318272,2017299530,1
2.1,389.3,1083318272,2076830794,1
2.16,372.3,1083318272,2137893962,1
2.22,389.6,1083318272,2197621834,1
2.28,389.5,1083318272,2258816074,1
2.34,372.1,1083318272,2319666250,1
2.4,389.3,1083318272,2381220938,1
2.46,406.1,1083318272,2441948234,1
2.51,372.0,1083318272,2504010826,1
2.57,405.5,1083318272,2564189258,1
2.63,372.0,1083318272,2624646218,1
2.69,372.9,1083318272,2685684810,1
2.75,389.0,1083318272,2745863242,1
2.81,389.4,1083318272,2806303818,1
2.87,372.6,1083318272,2866318410,1
2.93,392.0,1083318272,2925972554,1
2.99,390.3,1083318272,2987273290,1
3.05,389.5,1083318272,3047107658,1
3.11,358.2,1083318272,3107540042,1
3.16,388.2,1083318272,3169225802,1
3.22,388.4,1083318272,3229330506,1
3.28,392.3,1083318272,3289328714,1
3.34,373.2,1083318272,3350056010,1
3.4,373.4,1083318272,3409087562,1
3.46,400.5,1083318272,3469872202,1
3.52,371.4,1083318272,3529280586,1
3.58,372.0,1083318272,3589860426,1
3.64,389.2,1083318272,3650063434,1
3.7,372.1,1083318272,3709750346,1
3.76,406.1,1083318272,3770969162,1
3.81,371.6,2157060096,3830123594,1
3.87,387.8,2157060096,3891620938,1
3.93,371.7,2157060096,3952626762,1
3.99,391.1,2157060096,4012747850,1
4.05,406.2,2157060096,4074056778,1
4.11,373.0,2157060096,4134898762,1
4.17,389.2,2157060096,4196756554,1
4.23,372.1,2157060096,4252937290,1
4.29,404.3,2157060096,4308397130,1
4.35,422.3,2157060096,4363144266,1
4.41,355.7,2157060096,4418104394,1
4.46,405.2,2157060096,4473187402,1
4.52,426.0,2157060096,4529245258,1
4.58,388.2,2157060096,4586671178,1
4.64,406.0,2157060096,4644138058,1
4.7,388.8,2157060096,4702202954,1
4.76,406.6,2157060096,4759678026,1
4.82,406.1,2157060096,4817259594,1
4.88,406.1,2157060096,4875021386,1
4.94,388.6,2157060096,4934003786,1
5.0,389.5,2157060096,4992724042,1
5.06,406.3,2157060096,5052050506,1
5.16,402.9,2157060096,5160676426,1
5.27,412.0,2157060096,5268089930,1
5.38,393.8,2157060096,5376347210,1
5.49,393.4,2157060096,5485382730,1
5.6,393.3,2157060096,5592602252,1
5.71,412.4,2157060096,5663610508,1
5.82,394.0,2157060096,5695329618,1
5.93,393.4,2157060096,5695329618,1
6.04,412.1,3230801920,5695329618,1
6.15,393.8,3230801920,5695329618,1
6.26,393.9,3230801920,5695329618,1
6.37,412.0,4304543744,5695329618,1
6.48,393.9,4304543744,5695329618,1
6.58,393.6,4304543744,5695329618,1
6.69,394.0,4304543744,5695329618,1
6.8,411.9,4304543744,5695329618,1
6.91,393.6,4304543744,5695329618,1
7.02,402.7,4304543744,5695329618,1
7.13,402.6,4304543744,5695329618,1
7.24,393.8,4304543744,5695329618,1
7.35,393.9,4304543744,5695329618,1
7.46,421.0,4304543744,5695329618,1
7.57,394.8,4304543744,5695329618,1
7.68,392.8,4304543744,5695329618,1
7.79,394.2,4304543744,5695329618,1
7.9,403.0,4304543744,5695329618,1
8.0,402.8,4304543744,5695329618,1
8.11,395.3,4304543744,5695329618,1
8.22,412.0,4304543744,5695329618,1
8.33,392.4,4304543744,5695329618,1
8.44,393.5,4304543744,5695329618,1
8.55,411.4,4304543744,5695329618,1
8.66,393.7,4304543744,5695329618,1
8.77,393.5,4304543744,5695329618,1
8.88,411.8,4304543744,5695329618,1
8.99,403.5,4304543744,5695329618,1
9.1,384.7,4304543744,5695329618,1
9.21,403.4,4304543744,5695329618,1
9.31,412.2,4304543744,5695329618,1
9.42,395.0,4304543744,5695329618,1
9.53,393.1,4304543744,5695329618,1
9.64,411.7,4304543744,5695329618,1
9.75,393.4,4304543744,5695329618,1
9.86,393.5,4304543744,5695329618,1
9.97,412.1,4304543744,5695329618,1
10.08,393.5,4304543744,5695329618,1
10.29,396.9,4304543744,5695329618,1
10.5,401.0,4304543744,5695329618,1
10.71,406.0,4304543744,5695329618,1
10.92,396.0,4304543744,5695329618,1
11.13,405.9,4304543744,5695329618,1
11.34,390.7,4304543744,5695329618,1
11.55,401.8,4304543744,5695329618,1
11.75,401.3,4304543744,5695329618,1
11.96,401.6,4304543744,5695329618,1
12.17,400.9,4304543744,5695329618,1
12.38,396.3,4304543744,5695329618,1
12.59,400.9,4304543744,5695329618,1
12.8,396.2,4304543744,5695329618,1
13.01,406.1,4304543744,5695329618,1
13.22,396.5,4304543744,5695329618,1
13.43,396.6,4304543744,5695329618,1
13.64,410.6,4304543744,5695329618,1
13.85,391.8,4304543744,5695329618,1
14.06,404.9,4304543744,5695329618,1
14.27,401.7,5378285568,5695329618,1
14.48,396.5,5378285568,5695329618,1
14.69,405.9,5378285568,5695329618,1
14.9,396.4,5378285568,5695329618,1
15.1,397.3,5378285568,5695329618,1
15.31,400.7,5378285568,5695329618,1
15.52,401.1,5378285568,5695329618,1
15.73,397.5,5378285568,5695329618,1
15.94,396.5,5378285568,5695329618,1
16.15,406.3,5378285568,5695329618,1
16.36,401.3,5378285568,5695329618,1
16.57,391.7,5378285568,5695329618,1
16.78,406.0,5378285568,5695329618,1
16.99,400.7,5378285568,5695329618,1
17.2,400.3,5378285568,5695329618,1
17.41,401.6,5378285568,5695329618,1
17.62,396.5,5378285568,5695329618,1
17.83,405.0,5378285568,5695329618,1
18.04,396.5,5378285568,5695329618,1
18.25,396.4,5378285568,5695329618,1
18.45,405.9,5378285568,5695329618,1
18.66,396.0,5378285568,5695329618,1
18.87,396.6,5378285568,5695329618,1
19.08,405.9,5378285568,5695329618,1
19.29,397.3,5378285568,5695329618,1
19.5,396.5,5378285568,5695329618,1
19.71,404.9,5378285568,5695329618,1
19.92,395.7,5378285568,5695329618,1
20.13,406.1,5378285568,5695329618,1
20.54,399.8,5378285568,5695329618,1
20.95,395.7,5378285568,5695329618,1
21.36,400.9,11250311168,5695329618,1
21.77,398.1,11250311168,5695329618,1
22.18,400.5,11250311168,5695329618,1
22.59,397.3,13397794816,5695329618,1
23.0,397.3,13397794816,5695329618,1
23.41,397.6,13397794816,5695329618,1
23.82,402.7,13397794816,5695329618,1
24.23,397.8,13397794816,5695329618,1
24.64,400.1,13397794816,5695329618,1
25.05,400.3,13397794816,5695329618,1
25.46,399.8,13397794816,5695329618,1
25.87,400.3,13397794816,5695329618,1
26.28,397.5,13397794816,5695329618,1
26.69,402.9,13397794816,5695329618,1
27.1,400.1,13397794816,5695329618,1
27.51,402.4,13397794816,5695329618,1
27.92,395.9,13397794816,5695329618,1
28.33,402.6,13397794816,5695329618,1
28.74,397.5,13397794816,5695329618,1
29.15,400.2,13397794816,5695329618,1
29.56,402.9,13397794816,5695329618,1
29.97,394.8,13397794816,5695329618,1
30.38,402.0,13397794816,5695329618,1
30.79,400.5,13397794816,5695329618,1
31.2,400.4,13397794816,5695329618,1
