Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,2651217920,1301867,1
0.09,6060.7,2662219776,4679103,1
0.16,2166.6,2178772992,6692504,1
0.23,88.3,2188349440,10555805,1
0.29,102.2,2193469440,11813132,1
0.36,102.6,2198401024,13050123,1
0.43,100.2,2286510080,13639375,2
0.5,145.3,2335268864,16158751,4
0.57,423.1,2338414592,20488106,4
0.64,371.5,2357424128,25882407,4
0.71,387.6,2361618432,31559312,4
0.79,395.7,2365812736,37514736,4
0.86,399.8,2367909888,43994444,4
0.93,389.0,2372104192,50216120,4
1.0,405.8,2376298496,56974355,4
1.06,377.6,2378395648,63724396,4
1.13,406.1,2382589952,70212301,4
1.2,391.5,2386784256,76966432,4
1.27,394.3,2390978560,83446168,4
1.34,393.0,2393075712,89921805,4
1.41,394.7,2397270016,95864985,4
1.48,391.5,2401464320,100747257,4
1.55,393.4,2405658624,106149743,4
1.61,391.3,2405658624,112613092,4
1.68,390.7,2412998656,119096910,4
1.75,406.2,2415095808,125572513,4
1.82,391.8,2419290112,131790086,4
1.89,378.1,2421387264,137729151,4
1.96,403.8,2425581568,143655946,4
2.03,379.9,2427678720,150152021,4
2.1,406.2,2431873024,156095185,4
2.17,394.1,2436067328,161768006,4
2.23,392.7,2438164480,167969238,4
2.3,379.6,2442358784,174178660,4
2.37,392.5,2446553088,180134057,4
2.44,380.0,2448650240,186605573,4
2.51,422.8,2452844544,192544637,4
2.58,379.4,2454941696,198766273,4
2.65,391.7,2461233152,204979716,4
2.72,394.2,2465427456,210681184,4
2.78,392.9,2466476032,217128158,4
2.85,379.5,2470670336,223611971,4
2.92,421.3,2474864640,230087586,4
2.99,380.7,2476961792,235219761,4
3.06,392.9,2481156096,239819421,4
3.13,393.7,2483253248,245205538,4
3.2,377.8,2489544704,250333616,4
3.26,394.4,2489544704,255732008,4
3.33,392.4,2491641856,260864166,4
3.4,408.5,2493739008,266287124,4
3.47,393.4,2500030464,272209811,4
3.54,393.6,2500030464,277079811,4
3.61,392.4,2504224768,282736249,4
3.68,379.1,2506321920,287868425,4
3.74,405.2,2508419072,293008779,4
3.81,405.1,2512613376,298403067,4
3.88,392.1,2514710528,303535219,4
3.95,395.2,2518904832,308683766,4
4.02,377.6,2521001984,314074001,4
4.09,394.0,2523099136,319193883,4
4.16,406.6,2527293440,323773116,4
4.23,392.1,2531487744,328376891,4
4.3,393.0,2531487744,332960228,4
4.36,392.2,2533584896,337576313,4
4.43,376.8,2537779200,342688028,4
4.5,422.4,2539876352,347545786,4
4.57,391.9,2544070656,352133203,4
4.64,378.0,2546167808,356728826,4
4.71,409.0,2548264960,361578380,4
4.78,407.3,2552459264,366169899,4
4.85,365.4,2552459264,371015344,4
4.91,407.2,2556653568,375348783,4
4.98,392.7,2558750720,380210616,4
5.05,407.0,2560847872,384814391,4
5.17,396.5,2565042176,393428103,4
5.29,378.6,2569236480,401267657,4
5.41,396.4,2575527936,409377532,4
5.53,403.8,2579722240,417753644,4
5.64,388.6,2586013696,426117487,4
5.76,404.0,2588110848,433965186,4
5.88,396.0,2592305152,442316732,4
6.0,387.3,2596499456,450434773,4
6.12,396.4,2600693760,458536474,4
6.24,403.5,2604888064,466376026,4
6.36,387.9,2609082368,474473619,4
6.48,393.7,2615373824,481768420,4
6.6,394.3,2619568128,489599736,4
6.71,412.6,2623762432,497414703,4
6.83,371.4,2627956736,505536879,4
6.95,402.8,2632151040,513118342,4
7.07,404.8,2636345344,521478099,4
7.19,395.3,2642636800,529317667,4
7.31,387.1,2644733952,537415278,4
7.43,395.3,2651025408,545504679,4
7.55,403.7,2655219712,552815848,4
7.66,379.9,2659414016,560917534,4
7.78,395.3,2663608320,568486772,4
7.9,404.9,2667802624,576301751,4
8.02,388.0,2671996928,584153576,4
8.14,392.6,2678288384,592251172,4
8.26,394.6,2680385536,601139240,4
8.38,404.6,2688774144,608704356,4
8.5,378.2,2688774144,616818332,4
8.62,403.7,2695065600,625436169,4
8.73,396.0,2699259904,633259343,4
8.85,387.0,2703454208,641385565,4
8.97,396.5,2709745664,649999234,4
9.09,393.5,2711842816,658113204,4
9.21,395.1,2716037120,666223089,4
9.33,395.6,2724425728,674320691,4
9.45,387.6,2726522880,682156118,4
9.57,393.6,2730717184,690253711,4
9.69,403.5,2734911488,698089168,4
9.8,387.0,2739105792,705924617,4
9.92,395.7,2747494400,713747776,4
10.04,403.3,2747494400,721591412,4
10.26,393.0,2755883008,736164618,4
10.48,392.7,2764271616,750741962,4
10.7,393.2,2772660224,764536937,4
10.92,397.2,2778951680,779102023,4
11.14,397.8,2789437440,793138662,4
11.36,388.2,2795728896,806921349,4
11.57,397.7,2804117504,821498665,4
11.79,397.1,2812506112,835838388,4
12.01,393.1,2818797568,850411605,4
12.23,396.3,2827186176,864751338,4
12.45,396.8,2835574784,879336824,4
12.67,392.3,2843963392,892562499,4
12.89,397.7,2852352000,906869497,4
13.11,391.7,2858643456,920922505,4
13.33,392.5,2867032064,936011867,4
13.55,396.9,2877517824,949794638,4
13.77,393.0,2885906432,964625921,4
13.98,395.9,2892197888,978936976,4
14.2,388.0,2900586496,994038590,4
14.42,397.0,2908975104,1008624106,4
14.64,393.4,2917363712,1023205514,4
14.86,397.0,2923655168,1037520692,4
15.08,384.4,2932043776,1052904841,4
15.3,402.6,2944626688,1067752455,4
15.52,392.4,2950918144,1082325711,4
15.74,397.1,2957209600,1096915305,4
15.96,392.6,2965598208,1111504900,4
16.18,396.9,2973986816,1126082238,4
16.39,393.4,2982375424,1140389202,4
16.61,396.1,2988666880,1154716625,4
16.83,392.6,2999152640,1169551987,4
17.05,391.9,3005444096,1184690395,4
17.27,392.5,3015929856,1198743392,4
17.49,402.3,3024318464,1213058519,4
17.71,396.7,3030609920,1227644028,4
17.93,388.3,3036901376,1241942803,4
18.15,392.9,3047387136,1256258007,4
18.37,402.1,3053678592,1270573196,4
18.58,388.0,3062067200,1285158651,4
18.8,395.4,3070455808,1300280668,4
19.02,393.0,3078844416,1314862074,4
19.24,392.0,3085135872,1329443449,4
19.46,401.3,3093524480,1344024865,4
19.68,392.5,3101913088,1358610417,4
19.9,392.9,3110301696,1372913264,4
20.12,392.4,3120787456,1387486528,4
20.54,396.0,3133370368,1415056002,4
20.96,393.3,3150147584,1443415954,4
21.38,395.8,3164827648,1471472884,4
21.8,247.5,3183702016,1480935510,4
22.22,400.0,3183702016,1480935510,4
22.64,368.2,3143196672,1481013371,2
23.06,328.79999999999995,3183702016,1481227395,4
23.48,375.59999999999997,3145293824,1481305263,2
23.9,235.9,3309531136,1481811353,4
24.32,398.1,3539169280,1481811353,4
24.74,403.4,3698552832,1481811353,4
25.16,396.1,3709038592,1481811353,4
25.58,347.2,4372705280,1481869791,4
26.0,400.0,4372705280,1481869791,4
26.42,221.20000000000002,4236255232,1482239486,4
26.84,355.1,4301402112,1482239486,4
27.26,350.9,4410454016,1482239486,4
27.68,344.8,4540477440,1482239486,4
28.1,328.6,4651626496,1482239486,4
28.52,348.1,4764872704,1482239486,4
28.94,328.8,4873924608,1482239486,4
29.36,336.7,4982976512,1482239486,4
29.78,338.9,5098319872,1482239486,4
30.2,348.2,5196886016,1482239486,4
30.61,331.8,5329006592,1482239486,4
31.03,340.9,5459030016,1482239486,4
31.45,377.5,4577566720,1482239505,2
31.87,362.2,6220902400,1482297919,4
32.29,68.8,5809725440,1483134826,4
32.72,378.6,5845512192,1483134826,4
33.14,293.4,5864386560,1483134826,4
33.56,202.6,5948272640,1483134826,4
33.97,204.8,6040547328,1483134826,4
34.39,190.8,6124433408,1483134826,4
34.81,231.1,6235582464,1483134826,4
35.23,188.5,6311079936,1483134826,4
35.65,197.3,6394966016,1483134826,4
36.08,183.5,6455783424,1483134826,4
36.5,238.6,6053130240,1483193264,4
36.92,386.5,6053130240,1483193264,4
37.34,290.6,5830696960,1483290591,4
37.76,290.40000000000003,5816152064,1483562958,4
38.18,400.0,5816152064,1483562958,4
38.6,144.3,5769355264,1484302506,2
