Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,720896,28078,1
0.08,82.9,5316608,2190238,1
0.14,100.3,9641984,4286878,1
0.2,100.3,13832192,6252478,1
0.26,84.3,17752064,8218078,1
0.32,117.3,21536768,10183678,1
0.38,84.4,25186304,11952718,1
0.44,101.3,28835840,13656238,1
0.5,101.6,32215040,15359758,1
0.56,118.4,35459072,16932238,1
0.61,84.7,38703104,18439198,1
0.67,101.6,41676800,19946158,1
0.73,101.6,44650496,21322078,1
0.79,101.5,47353856,22632478,1
0.85,101.7,50192384,24008398,1
0.91,101.7,52760576,25318798,1
0.97,101.6,55463936,26498158,1
1.03,101.5,57896960,27677518,1
1.09,84.4,60329984,28856878,1
1.15,101.6,62627840,30101758,1
1.21,101.6,64925696,31215598,1
1.26,101.5,67223552,32329438,1
1.32,101.6,69386240,33443278,1
1.38,101.5,71684096,34491598,1
1.44,101.2,73711616,35539918,1
1.5,101.6,75874304,36588238,1
1.56,101.5,78036992,37636558,1
1.62,101.5,80199680,38684878,1
1.68,101.6,82362368,39798718,1
1.74,101.5,84389888,40781518,1
1.8,101.6,86417408,41764318,1
1.86,101.4,88580096,42812638,1
1.91,84.6,90472448,43860958,1
1.97,101.3,92499968,44843758,1
2.03,118.3,94527488,45892078,1
2.09,101.6,96555008,46940398,1
2.15,84.8,98582528,47923198,1
2.21,101.4,100610048,48971518,1
2.27,101.2,102637568,49888798,1
2.33,101.2,104665088,50871598,1
2.39,101.9,106692608,51788878,1
2.45,84.9,108720128,52706158,1
2.51,101.7,110882816,53754478,1
2.56,118.5,113045504,54737278,1
2.62,101.5,115073024,55654558,1
2.68,84.5,117100544,56637358,1
2.74,101.6,118992896,57620158,1
2.8,101.5,120885248,58602958,1
2.86,101.5,122777600,59585758,1
2.92,101.3,124805120,60503038,1
2.98,84.7,126697472,61485838,1
3.04,118.6,128589824,62403118,1
3.1,101.4,130482176,63320398,1
3.16,101.1,132374528,64172158,1
3.22,84.7,134266880,65154958,1
3.27,101.5,136159232,66072238,1
3.33,101.7,138051584,66989518,1
3.39,101.3,139943936,67906798,1
3.45,84.8,141836288,68824078,1
3.51,101.5,143728640,69741358,1
3.57,100.6,145756160,70724158,1
3.63,102.0,147648512,71641438,1
3.69,118.7,149540864,72558718,1
3.75,84.6,151433216,73475998,1
3.81,101.5,153190400,74393278,1
3.87,101.5,155082752,75310558,1
3.92,101.5,156975104,76227838,1
3.98,101.5,158867456,77145118,1
4.04,101.7,160759808,77996878,1
4.1,101.4,162516992,78914158,1
4.16,101.4,164409344,79831438,1
4.22,101.5,166301696,80748718,1
4.28,101.6,168058880,81665998,1
4.34,101.4,169951232,82583278,1
4.4,101.5,171708416,83435038,1
4.46,101.5,173600768,84417838,1
4.52,84.6,175493120,85335118,1
4.57,101.6,177385472,86252398,1
4.63,101.5,179277824,87104158,1
4.69,101.4,181170176,88086958,1
4.75,101.6,183197696,89004238,1
4.81,101.4,185090048,89921518,1
4.87,101.6,186982400,90838798,1
4.93,101.4,189009920,91690558,1
4.99,101.6,190902272,92607838,1
5.05,101.5,192929792,93525118,1
5.16,91.6,196444160,95097598,1
5.27,109.7,200093696,96735598,1
5.38,91.1,203743232,98373598,1
5.49,100.7,207122432,100011598,1
5.59,100.5,210636800,101780638,1
5.7,100.6,214286336,103484158,1
5.81,100.6,217935872,105122158,1
5.92,100.8,221179904,106825678,1
6.03,100.8,224694272,108463678,1
6.14,100.7,228208640,110167198,1
6.25,100.9,231452672,111870718,1
6.36,91.6,234831872,113574238,1
6.47,109.9,238346240,115277758,1
6.58,100.7,241725440,117046798,1
6.69,100.7,245239808,118619278,1
6.8,100.7,248889344,120191758,1
6.9,91.6,252133376,121960798,1
7.01,100.8,255647744,123598798,1
7.12,100.7,259162112,125236798,1
7.23,100.7,262541312,126940318,1
7.34,100.7,266190848,128643838,1
7.45,100.7,269570048,130347358,1
7.56,100.8,273219584,132050878,1
7.67,91.5,276598784,133819918,1
7.78,109.9,279977984,135523438,1
7.89,100.8,283357184,137161438,1
8.0,100.3,286736384,138799438,1
8.11,91.4,289980416,140437438,1
8.22,109.7,293359616,142140958,1
8.33,100.5,296738816,143778958,1
8.43,100.6,300388352,145351438,1
8.54,100.7,303902720,146989438,1
8.65,100.7,307552256,148692958,1
8.76,91.7,311201792,150396478,1
8.87,109.7,314716160,152099998,1
8.98,91.6,318230528,153803518,1
9.09,91.5,321744896,155507038,1
9.2,110.0,325529600,157341598,1
9.31,91.7,329043968,159176158,1
9.42,100.7,332828672,161010718,1
9.53,100.8,336343040,162714238,1
9.64,100.7,340262912,164548798,1
9.75,100.8,344047616,166317838,1
9.85,100.7,347967488,168086878,1
9.96,109.9,351617024,169855918,1
10.07,91.5,355401728,171690478,1
10.28,100.3,362160128,175097518,1
10.49,100.3,369188864,178570078,1
10.7,100.2,376217600,181911598,1
10.91,100.2,382840832,185318638,1
11.12,99.9,389869568,188725678,1
11.33,100.1,396627968,192067198,1
11.54,100.3,403656704,195408718,1
11.75,100.3,410550272,198750238,1
11.96,95.6,417443840,202222798,1
12.17,105.1,424202240,205629838,1
12.38,100.3,431771648,208971358,1
12.59,95.5,438665216,212378398,1
12.8,105.1,445829120,215785438,1
13.01,95.5,452722688,219192478,1
13.21,100.3,459751424,222533998,1
13.42,100.2,466644992,225875518,1
13.63,100.3,473673728,229217038,1
13.84,99.9,480837632,232624078,1
14.05,100.3,487731200,236031118,1
14.26,100.2,495300608,239503678,1
14.47,105.1,501923840,242910718,1
14.68,95.4,508817408,246383278,1
14.89,105.1,515440640,249855838,1
15.1,95.6,522469376,253131838,1
15.31,100.3,529227776,256538878,1
15.52,99.9,536121344,259880398,1
15.73,95.4,542879744,263287438,1
15.94,100.3,550313984,266497918,1
16.15,105.1,557072384,269642878,1
16.36,100.3,564101120,272918878,1
16.57,100.3,570454016,276129358,1
16.78,100.3,577482752,279339838,1
16.99,95.4,584105984,282681358,1
17.2,105.0,590864384,285957358,1
17.41,100.2,597217280,289167838,1
17.61,95.5,603705344,292443838,1
17.82,100.4,610328576,295654318,1
18.03,100.2,616681472,298930318,1
18.24,99.8,623439872,302206318,1
18.45,100.3,629657600,305416798,1
18.66,100.3,636010496,308758318,1
18.87,100.3,642363392,312034318,1
19.08,100.3,648716288,315310318,1
19.29,95.7,655474688,318651838,1
19.5,100.4,662233088,321796798,1
19.71,100.3,668721152,325007278,1
19.92,100.3,675209216,328217758,1
20.13,105.1,681562112,331428238,1
20.54,100.0,694538240,337783678,1
20.95,97.6,708325376,343877038,1
21.36,102.4,721031168,350035918,1
21.77,97.6,733872128,356063758,1
22.18,100.0,746577920,362157118,1
22.59,100.0,758878208,368447038,1
