Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,1089744896,35885,1
0.08,1202.1,3365724160,35897,1
0.14,676.6,3365724160,35897,1
0.2,878.3,3365724160,35897,1
0.26,3594.3,3365724160,393016487,1
0.32,6094.6,3365724160,1169772285,1
0.38,6387.1,3365724160,1839813817,1
0.44,6427.7,3365724160,2518077049,1
0.5,6402.2,3365724160,3268590119,1
0.56,6360.8,3365724160,4005736549,1
0.63,6354.5,3365724160,4848030336,1
0.69,6297.2,3365724160,5665244213,1
0.76,6155.0,3365724160,6573476821,1
0.82,6243.0,3365724160,7916289608,1
0.89,6563.0,3365724160,9150432729,1
0.95,6253.3,3365724160,10399060300,1
1.02,6516.5,3365724160,11491485296,1
1.09,6377.2,3365724160,11540738681,1
1.15,5309.4,3365724160,11540738681,1
1.22,5203.3,3365724160,11540738681,1
1.29,6037.3,3365724160,11540738681,1
1.35,6270.0,3365724160,11540738681,1
1.42,6274.2,3365724160,11540738681,1
1.49,6401.7,3365724160,11540738681,1
1.56,6464.6,3365724160,11540738681,1
1.63,6327.6,3365724160,11540738681,1
1.69,6385.9,3365724160,11540738681,1
1.76,6329.3,3365724160,11540738681,1
1.83,6435.1,3365724160,11540738681,1
1.9,6651.0,3365724160,11540738681,1
1.97,6045.1,3365724160,11540738681,1
2.04,6711.9,3365724160,11540738681,1
2.1,6336.6,3365724160,11540738681,1
2.17,6282.1,3365724160,11540738681,1
2.24,6549.1,3365724160,11540738681,1
2.31,6167.7,3365724160,11540738681,1
2.38,6593.2,3365724160,11540738681,1
2.45,6241.3,3365724160,11540738681,1
2.52,6574.1,3365724160,11540738681,1
2.59,6455.7,3365724160,11540738681,1
2.66,6264.2,3365724160,11540738681,1
2.73,6283.7,3365724160,11540738681,1
2.8,6577.2,3365724160,11540738681,1
2.87,6236.7,3365724160,11540738681,1
2.94,6571.7,3365724160,11540738681,1
3.01,6258.4,3365724160,11540738681,1
3.08,6616.1,3365724160,11540738681,1
3.15,6220.7,3365724160,11540738681,1
3.22,6589.2,3365724160,11540738681,1
3.29,6249.6,3365724160,11540738681,1
3.36,6268.3,3365724160,11540738681,1
3.43,6364.3,4439465984,11540738681,1
3.5,6708.0,4439465984,11540738681,1
3.57,6356.2,4439465984,11540738681,1
3.64,6324.7,4439465984,11540738681,1
3.71,6275.3,4439465984,11540738681,1
3.77,6644.9,4439465984,11540738681,1
3.84,6347.4,4439465984,11540738681,1
3.91,6255.9,4439465984,11540738681,1
3.98,6420.9,4439465984,11540738681,1
4.05,6374.1,4439465984,11540738681,1
4.12,6290.2,4439465984,11540738681,1
4.19,5147.1,4344037376,11540738681,1
4.25,112.7,4344037376,11540738681,1
4.31,0,0,0,1
