Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,2498560,928364,1
0.08,97.4,8040448,4007804,1
0.14,114.9,13447168,7021724,1
0.2,99.3,16420864,10565246,1
0.26,100.1,24457216,13078869,1
0.32,100.2,30539776,17599749,1
0.38,83.5,40701952,20372796,1
0.44,101.1,38182912,23342488,1
0.5,1692.8,580317184,26291567,1
0.57,101.0,586399744,30550367,1
0.63,101.5,592347136,34678127,1
0.69,101.0,601858048,37923589,1
0.75,117.9,609705984,41768690,1
0.8,100.1,615653376,46027490,1
0.86,84.3,621465600,50286290,1
0.92,84.3,627277824,54479570,1
0.98,118.6,632954880,58672850,1
1.04,101.5,653094912,58682341,1
1.1,101.5,665554944,61089398,1
1.16,84.7,672583680,65217158,1
1.22,101.6,684240896,67860337,1
1.28,101.2,691949568,71642812,1
1.34,118.5,700252160,75099357,1
1.4,101.6,707878912,78690317,1
1.46,84.7,716128256,82349556,1
1.51,101.3,727904256,85145828,1
1.57,101.5,736559104,88618388,1
1.63,101.5,742236160,92746148,1
1.69,101.7,747778048,96939428,1
1.75,101.4,763052032,97643308,1
1.81,101.5,780353536,97643308,1
1.87,101.6,796033024,97643308,1
1.93,84.5,810090496,97643308,1
1.99,101.6,825094144,97643308,1
2.05,101.5,837394432,97643308,1
2.11,118.5,846450688,97643308,1
2.16,4980.6,868896768,97643308,1
2.23,5191.0,894877696,97643308,1
2.29,1789.6,897560576,97643308,1
2.35,2590.3,911581184,97851677,1
2.41,1459.4,911884288,97955422,1
2.47,1524.3,919224320,97955422,1
2.53,1319.4,924499968,97955422,1
2.59,2100.0,924499968,97955422,1
2.65,3648.6,924499968,98741662,1
2.71,102.1,924499968,103262542,1
2.77,101.7,924499968,107848942,1
2.83,745.2,924499968,110947905,1
2.89,101.7,924499968,114027345,1
2.95,101.5,924499968,117210419,1
3.01,84.5,924499968,120231824,1
3.06,1900.0,924499968,121659109,1
3.13,898.9,924499968,124738549,1
3.18,84.7,924499968,128014549,1
3.24,101.4,924499968,131225029,1
3.3,100.0,924499968,134369989,1
3.36,101.0,924499968,137514949,1
3.42,101.3,924499968,140725429,1
3.48,100.9,924499968,143935909,1
3.54,101.1,924499968,146884309,1
3.6,84.5,924499968,149963749,1
3.66,5460.5,924499968,150308231,1
3.72,6010.0,924499968,150308231,1
3.79,6383.6,924499968,150308231,1
3.85,6196.4,924499968,150308231,1
3.91,6389.3,924708864,150308231,1
3.98,4776.0,925814784,150308231,1
4.04,4464.7,925851648,150308231,1
4.11,4642.8,927092736,150308231,1
4.17,4556.1,927420416,150308232,1
4.23,5072.7,927887360,150308232,1
4.3,3442.3,928174080,150308232,1
4.36,3795.6,928497664,150308232,1
4.42,3506.6,928620544,150308232,1
4.48,4146.0,929312768,150308232,1
4.54,3671.1,931422208,150308232,1
4.6,3154.3,932487168,150308232,1
4.66,4008.1,933298176,150308232,1
4.73,3413.0,934547456,150308232,1
4.79,2694.1,934563840,150308232,1
4.85,3904.7,935206912,150308232,1
4.91,3548.8,935776256,150308232,1
4.97,3915.0,940584960,150308232,1
5.03,3279.6,944951296,150308232,1
5.14,3139.2,953376768,150308232,1
5.26,2760.8,964120576,150308232,1
5.37,2042.1,975720448,150308232,1
5.48,2974.6,985989120,150308232,1
5.59,3035.5,994209792,150308232,1
5.71,2537.9,1002049536,150308232,1
5.83,3016.9,1010458624,150308232,1
5.94,2382.9,1017053184,150308232,1
6.06,2601.9,1024819200,150308232,1
6.17,2697.3,1033220096,150308232,1
6.28,648.8,1041342464,150308232,1
6.4,2524.9,1053839360,150308232,1
6.51,1973.4,1059917824,150308232,1
6.62,2399.0,1066905600,150308232,1
6.73,3460.7,1073344512,150308232,1
6.84,3234.1,1080307712,150308232,1
6.95,3435.9,1084653568,150308232,1
7.06,2852.7,1090179072,150308232,1
7.17,3381.8,1095327744,150308232,1
7.28,3640.4,1100439552,150308232,1
7.39,3773.9,1103953920,150308232,1
7.5,3918.0,1107619840,150308232,1
7.62,4218.0,1110736896,150308232,1
7.73,3600.5,1113583616,150308232,1
7.84,4010.6,1116839936,150308232,1
7.95,4546.8,1119678464,150308232,1
8.06,4502.8,1122127872,150308232,1
8.17,5047.2,1124704256,150308232,1
8.29,4534.5,1128230912,150308232,1
8.4,4768.1,1131352064,150308232,1
8.51,4589.0,1133928448,150308232,1
8.62,5111.6,1137180672,150308232,1
8.73,4828.6,1140817920,150308232,1
8.83,4925.7,1141907456,150308232,1
8.94,5486.7,1142865920,150308232,1
9.05,3993.4,1143148544,150308232,1
9.17,4587.9,1143435264,150308232,1
9.28,4884.2,1143578624,150308232,1
9.39,4842.9,1143578624,150308232,1
9.5,5052.6,1143713792,150308232,1
9.62,4790.0,1143713792,150308232,1
9.74,4966.4,1143713792,150308232,1
9.85,5389.3,1143713792,150308232,1
9.96,1231.1,1143713792,150308232,1
10.07,99.5,1143713792,150308232,1
