Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,149270528,13996,1
0.08,2706.8,242573312,13996,1
0.14,3501.0,354951168,13996,1
0.2,4197.9,468856832,13996,1
0.25,5449.8,571932672,13996,1
0.31,4598.1,665452544,13996,1
0.37,4181.9,769085440,13996,1
0.43,2351.5,818757632,661165,1
0.49,101.9,823476224,2086573,1
0.55,102.6,823476224,3487405,1
0.61,101.9,830849024,4921005,1
0.67,101.8,831930368,6354605,1
0.72,85.7,845594624,7763629,1
0.78,101.8,846675968,9189037,1
0.84,101.6,847757312,10614445,1
0.9,119.4,848838656,12031661,1
0.96,84.9,849920000,13448877,1
1.02,101.7,876167168,14866093,1
1.08,102.1,877248512,16291501,1
1.14,102.2,878329856,17700525,1
1.2,101.9,879411200,19125933,1
1.25,101.7,880492544,20543149,1
1.31,84.6,881573888,21968557,1
1.37,101.6,882655232,23393965,1
1.43,119.5,883601408,24688301,1
1.49,102.0,884817920,26091366,1
1.55,101.7,913403904,26091366,1
1.61,84.7,942501888,26091366,1
1.67,102.4,978677760,26091366,1
1.73,101.9,998604800,26091366,1
1.78,84.8,1000697856,26091366,1
1.84,384.1,1034035200,26091366,1
1.9,1950.0,1158688768,26091366,1
1.96,1388.9,1183674368,26091366,1
2.02,1711.4,1266823168,26091366,1
2.08,2409.2,1403568128,26091366,1
2.15,3010.1,1556762624,26091366,1
2.21,2128.2,1757208576,26091366,1
2.27,1321.5,1893576704,26091366,1
2.34,1025.6,1989906432,26091366,1
2.4,3746.5,2198929408,26091366,1
2.47,3160.6,2412883968,26091366,1
2.53,375.7,2447941632,26091366,1
2.59,196.4,2466435072,26091366,1
2.65,3339.2,2604834816,26091366,1
2.71,2809.0,2783027200,26091366,1
2.78,5709.2,2981494784,26091366,1
2.84,1771.9,3071676416,26091366,1
2.91,1171.0,3198615552,26091366,1
2.97,2805.6,3460206592,26091366,1
3.04,2823.5,3643977728,26091366,1
3.1,1047.9,3757572096,26091366,1
3.16,617.2,3884097536,26091366,1
3.22,185.6,4067135488,26091366,1
3.28,101.5,4113465344,26091366,1
3.34,101.6,4156538880,26091366,1
3.4,102.8,4460281856,26091366,1
3.46,101.8,4503195648,26091366,1
3.52,84.7,4549410816,26091366,1
3.58,101.7,4595556352,26091366,1
3.63,102.4,4640948224,26091366,1
3.69,102.0,4891136000,26091366,1
3.75,101.7,4891136000,26091366,1
3.81,102.5,4891136000,26091366,1
3.87,101.6,4891136000,26091366,1
3.93,84.9,4891136000,26091366,1
3.99,101.6,4891136000,26091366,1
4.05,101.6,4891136000,26091366,1
4.11,102.4,4891136000,26091366,1
4.16,102.0,4891136000,26091366,1
4.22,101.7,4891136000,26091366,1
4.28,101.6,4891136000,26091366,1
4.34,101.5,4891136000,26091366,1
4.4,85.3,4891136000,26091366,1
4.46,102.0,4891136000,26091366,1
4.52,118.7,4891136000,26091366,1
4.58,84.7,4891136000,26091366,1
4.64,102.4,4891136000,26091366,1
4.69,102.0,4891136000,26091366,1
4.75,101.0,4891136000,26091366,1
4.81,101.9,4891136000,26091366,1
4.87,101.7,4891136000,26091366,1
4.93,101.3,4656783360,26091366,1
4.99,101.6,4656783360,26091366,1
5.05,101.6,4656783360,26091366,1
5.16,100.7,4863107072,26091366,1
5.27,91.5,5073686528,26091366,1
5.38,200.8,5153562624,26091366,1
5.49,219.0,5186584576,26091366,1
5.59,219.6,5222670336,26091366,1
5.7,219.4,5258121216,26091366,1
5.81,218.8,5291552768,26091366,1
5.92,227.7,5328633856,26091366,1
6.03,227.3,5361958912,26091366,1
6.14,227.2,5397757952,26091366,1
6.25,209.4,5434843136,26091366,1
6.36,218.7,5472182272,26091366,1
6.47,209.3,5515935744,26091366,1
6.58,236.5,5545725952,26091366,1
6.69,245.1,5579698176,26091366,1
6.8,209.2,5619589120,26091366,1
6.91,209.7,5658923008,26091366,1
7.02,218.8,5701455872,26091366,1
7.13,218.8,5736620032,26091366,1
7.24,219.0,5772808192,26091366,1
7.35,309.5,5779312640,26091366,1
7.46,3097.2,5625098240,26091366,1
7.58,2246.4,5863239680,26091366,1
7.7,3103.8,6978355200,26091366,1
7.81,4184.9,7277699072,26091366,1
7.93,5526.8,7414104064,26091366,1
8.04,430.1,7449387008,26091366,1
8.15,2127.8,7790813184,26091366,1
8.27,2616.8,8065425408,26091366,1
8.39,3824.8,8251232256,26091366,1
8.5,1491.8,8282918912,26091366,1
8.62,320.5,8298979328,26091366,1
8.73,1600.1,8491917312,26091366,1
8.84,5010.0,8796516352,26091366,1
8.95,969.8,8816066560,26091366,1
9.07,3926.9,9159241728,26091366,1
9.18,5341.4,9287454720,26091366,1
9.29,5843.1,9367744512,26091366,1
9.41,2327.4,9388871680,26091366,1
9.52,100.4,9418153984,26091366,1
9.63,4135.1,9729462272,26091366,1
9.74,2334.1,9874010112,26091366,1
9.85,1580.3,9903923200,26091366,1
9.97,2079.2,9964036096,26091366,1
10.08,100.6,9973338112,26091366,1
10.29,100.5,9973432320,26091366,1
10.5,1111.1,10085064704,26091366,1
10.71,5165.1,10357334016,26091366,1
10.92,2347.9,10394537984,26091366,1
11.14,5273.5,10778230784,26091366,1
11.36,5357.3,10939265024,26091366,1
11.58,2864.3,11228102656,26091366,1
11.79,3515.6,11570221056,26091366,1
12.01,1372.7,11642331136,26091366,1
12.22,345.4,11659984896,26091366,1
12.43,99.9,11690962944,26091366,1
12.64,100.4,11691188224,26091366,1
12.85,100.5,11691188224,26091366,1
13.06,334.0,11729383424,26091366,1
13.27,251.5,11749253120,26091366,1
13.48,4886.6,12567015424,26091366,1
13.7,4611.3,12737712128,26091366,1
