Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,3365724160,11693,1
0.08,2749.0,3365724160,11693,1
0.14,3224.1,3365724160,11693,1
0.2,3463.3,3365724160,11693,1
0.26,5423.9,3365724160,452764574,1
0.32,6337.7,3365724160,960640148,1
0.38,5849.4,3365724160,981468461,1
0.43,5093.4,3365724160,981468461,1
0.49,6325.8,3365724160,981468461,1
0.55,6255.5,3365724160,981468461,1
0.61,6183.3,3365724160,981468461,1
0.68,6566.5,3365724160,981468461,1
0.74,6557.9,3365724160,981468461,1
0.8,6302.7,3365724160,981468461,1
0.87,6378.3,3365724160,981468461,1
0.93,6449.0,3365724160,981468461,1
0.99,6435.4,3365724160,981468461,1
1.06,6446.5,3365724160,981468461,1
1.12,6026.8,3365724160,981468461,1
1.19,6464.2,3365724160,981468461,1
1.25,6722.3,3365724160,981468461,1
1.31,6307.7,3365724160,981468461,1
1.38,6319.9,3365724160,981468461,1
1.44,6317.7,3365724160,981468461,1
1.51,6286.7,3365724160,981468461,1
1.57,6661.3,3365724160,981468461,1
1.64,6221.4,3365724160,981468461,1
1.7,6664.9,3365724160,981468461,1
1.77,6196.1,3365724160,981468461,1
1.84,6246.3,3365724160,981468461,1
1.9,6517.4,3365724160,981468461,1
1.97,6598.2,3365724160,981468461,1
2.03,6256.5,3365724160,981468461,1
2.1,6237.8,3365724160,981468461,1
2.17,6684.2,3365724160,981468461,1
2.23,6400.3,5513207808,981468461,1
2.3,6134.0,5513207808,981468461,1
2.37,6422.3,5513207808,981468461,1
2.44,6640.8,5513207808,981468461,1
2.51,6381.3,5513207808,981468461,1
2.58,6334.1,5513207808,981468461,1
2.66,6499.7,5513207808,981468461,1
2.73,6264.6,5513207808,981468461,1
2.8,6490.7,5513207808,981468461,1
2.87,6433.5,5513207808,981468461,1
2.94,6206.3,5513207808,981468461,1
3.01,6537.8,5513207808,981468461,1
3.08,6452.0,5513207808,981468461,1
3.15,6422.2,5513207808,981468461,1
3.22,6410.0,5513207808,981468461,1
3.29,6143.5,5513207808,981468461,1
3.36,6413.0,5513207808,981468461,1
3.44,6483.0,5513207808,981468461,1
3.51,6253.9,5513207808,981468461,1
3.58,6594.4,5513207808,981468461,1
3.65,6353.8,5513207808,981468461,1
3.72,6480.7,6586949632,981468461,1
3.79,6306.4,6586949632,981468461,1
3.86,6557.2,6586949632,981468461,1
3.93,6189.6,6586949632,981468461,1
4.0,6608.8,6586949632,981468461,1
4.07,6289.6,6586949632,981468461,1
4.15,6371.4,6586949632,981468461,1
4.22,6384.1,8734433280,981468461,1
4.29,6476.6,8734433280,981468461,1
4.36,6458.4,8734433280,981468461,1
4.43,6240.5,8734433280,981468461,1
4.5,6366.2,8734433280,981468461,1
4.57,6565.4,8734433280,981468461,1
4.65,6137.0,8734433280,981468461,1
4.72,6721.8,8734433280,981468461,1
4.79,6254.5,8734433280,981468461,1
4.86,6461.2,8734433280,981468461,1
4.93,6143.5,8734433280,981468461,1
5.01,6526.7,8734433280,981468461,1
5.13,6422.1,8734433280,981468461,1
5.25,6428.1,8734433280,981468461,1
5.36,6297.3,8734433280,981468461,1
5.48,6574.1,8734433280,981468461,1
5.6,6346.5,8734433280,981468461,1
5.72,6417.5,8734433280,981468461,1
5.84,6323.6,8734433280,981468461,1
5.96,6429.5,8734433280,981468461,1
6.08,6350.4,8734433280,981468461,1
6.2,6368.0,8734433280,981468461,1
6.32,6546.9,8734433280,981468461,1
6.44,6400.2,8734433280,981468461,1
6.56,6297.2,8734433280,981468461,1
6.68,6436.9,8734433280,981468461,1
6.8,6418.7,8734433280,981468461,1
6.92,6314.0,8734433280,981468461,1
7.04,6386.5,8734433280,981468461,1
7.16,6429.9,8734433280,981468461,1
7.28,6461.5,8734433280,981468461,1
7.4,6401.0,8734433280,981468461,1
7.52,6374.7,8734433280,981468461,1
7.64,6341.2,8734433280,981468461,1
7.76,6346.5,8734433280,981468461,1
7.88,6321.8,8734433280,981468461,1
8.01,2914.9,8639004672,981468461,1
8.12,100.5,8639004672,981468461,1
