Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,2652991488,1867060,1
0.09,5976.8,2664914944,5251926,1
0.17,1193.8,2179469312,6890063,1
0.24,115.2,2190127104,11082446,1
0.31,87.1,2195292160,12480984,1
0.38,98.8,2199130112,13251525,1
0.45,56.1,2821033984,18153747,2
0.52,353.1,2836385792,18409425,2
0.6,230.3,2867843072,18506642,2
0.67,159.1,2918174720,18662344,2
0.74,419.8,2954825728,18720765,4
0.81,415.3,2962690048,18818179,2
0.88,57.3,2908164096,18993063,2
0.94,231.9,2967408640,19109972,4
1.01,306.3,2984321024,19109972,4
1.08,293.1,2984321024,19109972,4
1.15,307.3,2984321024,19109972,4
1.22,292.8,2984321024,19109972,4
1.29,293.1,2984321024,19109972,4
1.36,306.4,2984321024,19109972,4
1.42,307.2,2984321024,19109972,4
1.49,305.4,2984321024,19109972,4
1.56,291.9,2984321024,19109972,4
1.63,304.9,2984321024,19109972,4
1.7,290.0,2984321024,19109972,4
1.77,292.1,2984321024,19109972,4
1.84,319.2,2984321024,19109972,4
1.91,292.3,2984321024,19109972,4
1.97,306.2,2984321024,19109972,4
2.04,282.3,2984321024,19109972,4
2.12,321.6,2984321024,19109972,4
2.18,290.2,2984321024,19109972,4
2.25,307.8,2984321024,19109972,4
2.32,291.3,2984321024,19109972,4
2.39,306.4,2984321024,19109972,4
2.46,204.9,2984321024,19109972,4
2.53,189.1,2984321024,19109972,4
2.6,218.8,2984321024,19109972,4
2.66,189.2,2984321024,19109972,4
2.73,204.6,2984321024,19109972,4
2.8,189.2,2984321024,19109972,4
2.87,204.1,2984321024,19109972,4
2.94,204.0,2984321024,19109972,4
3.01,190.1,2984321024,19109972,4
3.08,219.7,2984321024,19109972,4
3.14,189.0,2984321024,19109972,4
3.21,205.6,2984321024,19109972,4
3.28,189.9,2984321024,19109972,4
3.35,205.0,2984321024,19109972,4
3.42,203.6,2984321024,19109972,4
3.49,189.3,2984321024,19109972,4
3.56,204.0,2984321024,19109972,4
3.62,204.6,2984321024,19109972,4
3.69,202.9,2984321024,19109972,4
3.76,190.5,2984321024,19109972,4
3.83,203.7,2984321024,19109972,4
3.9,204.7,2984321024,19109972,4
3.97,190.4,2984321024,19109972,4
4.04,204.8,2984321024,19109972,4
4.1,202.7,2984321024,19109972,4
4.17,203.7,2984321024,19109972,4
4.24,189.9,2984321024,19109972,4
4.31,203.7,2984321024,19109972,4
4.38,204.5,2984321024,19109972,4
4.45,188.7,2984321024,19109972,4
4.52,204.2,2984321024,19109972,4
4.58,203.6,2984321024,19109972,4
4.65,204.9,2984321024,19109972,4
4.72,189.0,2984321024,19109972,4
4.79,204.3,2984321024,19109972,4
4.86,201.9,2984321024,19109972,4
4.93,203.8,2984321024,19109972,4
5.0,206.0,2984321024,19109972,4
5.06,189.1,2984321024,19109972,4
5.18,201.6,2984321024,19109972,4
5.3,193.1,2984321024,19109972,4
5.42,201.7,2984321024,19109972,4
5.54,202.3,2984321024,19109972,4
5.66,201.9,2984321024,19109972,4
5.78,202.4,2984321024,19109972,4
5.9,201.9,2984321024,19109972,4
6.02,194.8,2984321024,19109972,4
6.13,203.0,2984321024,19109972,4
6.25,202.3,2984321024,19109972,4
6.37,193.4,2984321024,19109972,4
6.49,202.1,2984321024,19109972,4
6.61,201.3,2984321024,19109972,4
6.73,193.8,2984321024,19109972,4
6.85,202.3,2984321024,19109972,4
6.97,202.0,2984321024,19109972,4
7.08,194.2,2984321024,19109972,4
7.2,201.9,2984321024,19109972,4
7.32,202.2,2984321024,19109972,4
7.44,201.5,2984321024,19109972,4
7.56,201.5,2984321024,19109972,4
7.68,202.5,2984321024,19109972,4
7.8,201.7,2984321024,19109972,4
7.92,193.3,2984321024,19109972,4
8.03,202.4,2984321024,19109972,4
8.15,201.9,2984321024,19109972,4
8.27,194.3,2984321024,19109972,4
8.39,202.0,2984321024,19109972,4
8.51,202.1,2984321024,19109972,4
8.63,194.3,2984321024,19109972,4
8.75,202.0,2984321024,19109972,4
8.87,202.4,2984321024,19109972,4
8.98,193.5,2984321024,19109972,4
9.1,210.5,2984321024,19109972,4
9.22,201.4,2984321024,19109972,4
9.34,200.9,2984321024,19109972,4
9.46,201.9,2984321024,19109972,4
9.58,193.4,2984321024,19109972,4
9.7,202.7,2984321024,19109972,4
9.82,194.2,2984321024,19109972,4
9.93,202.2,2984321024,19109972,4
10.05,202.9,2984321024,19109972,4
10.27,200.5,2984321024,19109972,4
10.49,201.3,2984321024,19109972,4
10.71,200.7,2984321024,19109972,4
10.93,201.2,2984321024,19109972,4
11.15,200.6,2984321024,19109972,4
11.37,196.5,2984321024,19109972,4
11.59,200.9,2984321024,19109972,4
