Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,2478080,993884,1
0.08,101.5,8019968,3876764,1
0.14,101.6,14372864,6366892,1
0.2,101.6,22077440,8332492,1
0.26,101.7,29376512,10696183,1
0.32,84.7,39649280,12399703,1
0.37,101.3,49381376,14103223,1
0.43,101.6,61546496,15346346,1
0.49,100.4,82362368,15346346,1
0.55,1795.3,635125760,15346352,1
0.62,5380.2,652177408,15346352,1
0.68,3182.4,689119232,15346352,1
0.75,99.2,699797504,15346352,1
0.81,100.8,703717376,15346352,1
0.87,117.5,720748544,15346352,1
0.93,3498.3,756260864,15346352,1
0.99,3489.3,777003008,15346352,1
1.05,4908.1,802152448,15346352,1
1.11,3829.6,806825984,15346352,1
1.18,3623.1,848003072,15346352,1
1.24,543.9,848003072,15346352,1
1.3,101.8,850571264,15346352,1
1.36,118.6,861114368,15346352,1
1.42,84.7,870846464,15346352,1
1.48,101.6,886120448,15346352,1
1.53,101.6,901259264,15346352,1
1.59,101.5,914911232,15346352,1
1.65,101.4,928563200,15346352,1
1.71,101.5,942485504,15346352,1
1.77,1220.2,945999872,15346352,1
1.84,4625.6,956628992,15346352,1
1.9,2178.0,967716864,15346352,1
1.97,5555.3,1032224768,15346352,1
2.04,4594.9,1049767936,15346352,1
2.1,1827.1,1054580736,15346352,1
2.16,4200.8,1105997824,15346352,1
2.23,2303.3,1121099776,15346352,1
2.29,100.0,1126236160,15346352,1
2.35,100.2,1133670400,15346352,1
2.4,100.8,1141374976,15346352,1
2.46,117.3,1148403712,15346352,1
2.52,84.5,1155432448,15346352,1
2.58,101.5,1161379840,15346352,1
2.64,101.5,1168003072,15346352,1
2.7,101.5,1174491136,15346352,1
2.76,101.5,1180033024,15346352,1
2.82,101.4,1185710080,15346352,1
2.88,101.6,1186791424,15346352,1
2.94,101.5,1197604864,15346352,1
3.0,99.8,1208553472,15346352,1
3.06,101.4,1220988928,15346352,1
3.12,101.2,1232883712,15346352,1
3.18,100.4,1244102656,15346352,1
3.24,83.9,1256402944,15346352,1
3.3,116.6,1268973568,15346352,1
3.36,84.2,1282355200,15346352,1
3.41,101.7,1292898304,15346352,1
3.47,118.5,1303846912,15346352,1
3.53,84.3,1314660352,15346352,1
3.59,101.7,1326419968,15346352,1
3.65,101.4,1339125760,15346352,1
3.71,101.6,1339125760,15346352,1
3.77,2644.6,1339125760,15346352,1
3.83,3849.1,1339187200,15346352,1
3.89,329.7,1340481536,15346352,1
3.95,101.6,1341239296,15346352,1
4.01,3360.5,1342693376,15346352,1
4.08,2912.1,1362317312,15346352,1
4.14,4379.7,1407852544,15346352,1
4.21,4792.7,1425129472,15346352,1
4.27,1103.6,1431486464,15346352,1
4.33,5953.9,1512284160,15346352,1
4.4,582.2,1521475584,15346352,1
4.47,114.2,1530261504,15346352,1
4.53,98.7,1539182592,15346352,1
4.59,90.3,1545400320,15346352,1
4.65,115.2,1547968512,15346352,1
4.72,82.5,1551888384,15346352,1
4.78,100.6,1557295104,15346352,1
4.84,118.7,1564188672,15346352,1
4.9,84.3,1570947072,15346352,1
4.96,101.5,1576759296,15346352,1
5.02,101.4,1578516480,15346352,1
5.13,100.8,1587978240,15346352,1
5.24,100.7,1591087104,15346352,1
5.35,101.0,1608253440,15346352,1
5.46,91.4,1626636288,15346352,1
5.57,100.7,1650290688,15346352,1
5.68,100.8,1672998912,15346352,1
5.79,109.7,1697193984,15346352,1
5.89,100.1,1726660608,15346352,1
6.0,91.5,1749639168,15346352,1
6.11,109.8,1772212224,15346352,1
6.22,91.4,1796001792,15346352,1
6.33,100.0,1819926528,15346352,1
6.44,100.7,1824387072,15346352,1
6.55,1568.8,1824387072,15346353,1
6.66,2313.1,1824387072,15346353,1
6.77,3329.7,1824624640,15346353,1
6.88,4032.8,1882701824,15346353,1
6.99,5013.6,1980030976,15346353,1
7.1,4647.3,2075385856,15346353,1
7.21,800.8,2094059520,15346353,1
7.32,99.3,2111631360,15346353,1
7.43,100.6,2128797696,15346353,1
7.54,100.2,2147045376,15346353,1
7.65,100.6,2158534656,15346353,1
7.76,100.9,2185433088,15346353,1
7.87,100.6,2208141312,15346353,1
7.98,101.0,2235715584,15346353,1
8.09,91.4,2262208512,15346353,1
8.2,100.6,2287349760,15346353,1
8.3,100.7,2315329536,15346353,1
8.41,100.7,2349797376,15346353,1
8.52,100.8,2380480512,15346353,1
8.63,100.5,2403729408,15346353,1
8.74,100.4,2430357504,15346353,1
8.85,109.3,2453336064,15346353,1
8.96,91.1,2478206976,15346353,1
9.07,100.0,2509836288,15346353,1
9.18,109.2,2538897408,15346353,1
9.29,91.5,2569715712,15346353,1
9.4,109.0,2581340160,15346353,1
9.51,399.2,2581340160,15346353,1
9.62,3856.3,2581340160,15346353,1
9.74,2382.5,2581340160,15346353,1
9.85,4088.8,2607554560,15346353,1
9.96,3716.8,2670407680,15346353,1
10.08,5950.6,2753359872,15346353,1
10.29,1856.3,2804662272,15346353,1
10.51,102.7,2847240192,15346353,1
10.72,98.5,2890899456,15346353,1
10.93,103.8,2941452288,15346353,1
11.15,94.5,2993627136,15346353,1
11.36,104.3,3046072320,15346353,1
11.57,94.8,3107438592,15346353,1
11.78,104.5,3160694784,15346353,1
11.99,94.9,3213139968,15346353,1
12.2,104.4,3265044480,15346353,1
12.41,99.9,3289509888,15346353,1
12.62,256.8,3289509888,15346353,1
12.83,3131.3,3289509888,15346353,1
13.05,5338.8,3301109760,15346353,1
13.26,5053.5,3315277824,15346353,1
13.47,1026.3,3351486464,15346353,1
13.69,99.4,3385143296,15346353,1
13.91,100.0,3429072896,15346353,1
14.12,95.2,3473408000,15346353,1
14.33,104.8,3519229952,15346353,1
14.54,100.0,3566673920,15346353,1
14.75,99.8,3611279360,15346353,1
14.96,100.0,3655614464,15346353,1
15.17,100.0,3703058432,15346353,1
15.38,100.0,3714547712,15346353,1
15.59,660.1,3714547712,15346353,1
15.79,3732.8,3714547712,15346353,1
16.01,4767.4,3714547712,15346353,1
16.22,2488.3,3738742784,15346353,1
16.43,99.9,3772264448,15346353,1
16.64,100.1,3807408128,15346353,1
16.85,99.9,3845120000,15346353,1
17.06,100.1,3888914432,15346353,1
17.27,95.2,3927302144,15346353,1
17.48,104.6,3963392000,15346353,1
17.69,99.8,4005023744,15346353,1
17.9,99.7,4019621888,15346353,1
18.11,977.0,4019621888,15346353,1
18.32,3719.5,4019621888,15346353,1
18.54,5197.8,4019621888,15346353,1
18.75,1142.9,4031787008,15346353,1
18.96,95.5,4064497664,15346353,1
19.17,100.2,4101533696,15346353,1
19.38,100.1,4145328128,15346353,1
19.59,100.4,4168036352,15346353,1
19.8,100.3,4190474240,15346353,1
20.01,100.2,4220751872,15346353,1
20.42,97.5,4233998336,15346353,1
20.83,4353.6,4234809344,15346353,1
21.24,99.9,4292661248,15346353,1
21.65,100.0,4353081344,15346353,1
22.06,97.6,4385521664,15346353,1
22.47,4452.6,4385521664,15346353,1
22.89,175.7,4445130752,15346353,1
23.3,100.1,4474732544,15346353,1
23.71,2843.4,4495142912,15346353,1
24.12,790.1,4529070080,15346353,1
24.53,1808.6,4556779520,15346353,1
24.95,2818.6,4569890816,15346353,1
25.36,3370.9,4586921984,15346353,1
25.77,4431.9,4593102848,15346353,1
26.19,5386.4,4595613696,15346353,1
26.6,5786.2,4595859456,15346353,1
27.01,3293.6,4595859456,15346353,1
27.43,99.9,4595859456,15346353,1
27.84,100.0,4595859456,15346353,1
28.25,100.0,4595859456,15346353,1
28.66,100.1,4595859456,15346353,1
29.07,100.1,4595859456,15346353,1
29.48,99.9,4595859456,15346353,1
29.89,100.0,4595859456,15346353,1
