Time,CPU Percent,MEM Usage,IO Reads,_NProc
0.02,0.0,720896,28853,1
0.08,83.8,6270976,2584133,1
0.14,100.1,12083200,5382530,1
0.2,100.1,19652608,7498501,1
0.26,101.0,27086848,9791701,1
0.32,101.6,35196928,11827792,1
0.38,101.8,43982848,13596832,1
0.44,101.6,52903936,15364115,1
0.5,101.6,69799936,15364115,1
0.56,101.5,85614592,15364115,1
0.62,5278.5,663031808,15364199,1
0.69,1309.3,677253120,15364199,1
0.75,100.1,681713664,15364199,1
0.81,101.4,683470848,15364199,1
0.87,101.5,695771136,15364199,1
0.93,3989.3,730583040,15364199,1
0.99,5951.0,789475328,15364199,1
1.06,98.9,789475328,15364199,1
1.13,101.6,795963392,15364199,1
1.18,84.6,806236160,15364199,1
1.24,101.6,813535232,15364199,1
1.3,101.6,822861824,15364199,1
1.36,101.5,833404928,15364199,1
1.42,101.5,843677696,15364199,1
1.48,101.6,852869120,15364199,1
1.54,101.4,861384704,15364199,1
1.6,4945.8,870363136,15364199,1
1.67,3543.5,880480256,15364199,1
1.74,3292.5,889958400,15364199,1
1.81,6359.1,973025280,15364199,1
1.88,737.2,982216704,15364199,1
1.94,101.7,991002624,15364199,1
2.0,101.7,998977536,15364199,1
2.06,84.4,1006546944,15364199,1
2.12,101.7,1013305344,15364199,1
2.17,118.6,1020063744,15364199,1
2.23,84.7,1027092480,15364199,1
2.29,101.5,1034391552,15364199,1
2.35,101.6,1038581760,15364199,1
2.41,101.5,1041825792,15364199,1
2.47,101.5,1047773184,15364199,1
2.53,101.5,1053179904,15364199,1
2.59,101.4,1059532800,15364199,1
2.65,84.5,1066020864,15364199,1
2.71,101.4,1072644096,15364199,1
2.77,118.3,1078726656,15364199,1
2.83,84.7,1085620224,15364199,1
2.88,101.5,1091837952,15364199,1
2.94,101.4,1097785344,15364199,1
3.0,101.4,1104273408,15364199,1
3.06,101.6,1111166976,15364199,1
3.12,98.8,1118601216,15364199,1
3.18,100.4,1125089280,15364199,1
3.24,100.1,1128198144,15364199,1
3.3,4660.6,1128198144,15364199,1
3.37,2731.0,1128218624,15364199,1
3.44,4864.5,1129115648,15364199,1
3.51,3555.5,1137733632,15364199,1
3.57,6053.3,1210068992,15364199,1
3.64,3841.3,1234067456,15364199,1
3.71,107.6,1243123712,15364199,1
3.77,99.8,1250693120,15364199,1
3.83,101.1,1257451520,15364199,1
3.89,101.0,1264885760,15364199,1
3.95,84.4,1272455168,15364199,1
4.01,118.3,1279348736,15364199,1
4.07,101.6,1286377472,15364199,1
4.13,101.5,1293000704,15364199,1
4.19,84.6,1296920576,15364199,1
4.25,101.4,1298948096,15364199,1
4.31,101.4,1304084480,15364199,1
4.37,101.6,1309761536,15364199,1
4.42,101.5,1314222080,15364199,1
4.48,84.5,1318952960,15364199,1
4.54,101.6,1323683840,15364199,1
4.6,101.3,1329225728,15364199,1
4.66,118.6,1334497280,15364199,1
4.72,101.3,1339228160,15364199,1
4.78,84.8,1345310720,15364199,1
4.84,101.5,1350447104,15364199,1
4.9,101.6,1356259328,15364199,1
4.96,101.5,1360179200,15364199,1
5.02,101.7,1364504576,15364199,1
5.13,100.7,1373290496,15364199,1
5.23,100.8,1382211584,15364199,1
5.34,100.5,1391943680,15364199,1
5.45,100.7,1402081280,15364199,1
5.56,100.8,1412894720,15364199,1
5.67,100.7,1420599296,15364199,1
5.78,4124.4,1420599296,15364199,1
5.9,4063.9,1420926976,15364199,1
6.01,5854.4,1494114304,15364199,1
6.14,3773.9,1537388544,15364199,1
6.25,98.9,1552121856,15364199,1
6.36,109.6,1565097984,15364199,1
6.47,91.4,1578074112,15364199,1
6.58,100.8,1588211712,15364199,1
6.69,100.6,1594294272,15364199,1
6.8,100.8,1602539520,15364199,1
6.91,100.7,1612271616,15364199,1
7.02,91.6,1622003712,15364199,1
7.13,100.7,1630248960,15364199,1
7.23,110.0,1640792064,15364199,1
7.34,91.5,1650659328,15364199,1
7.45,109.9,1659174912,15364199,1
7.56,91.5,1667690496,15364199,1
7.67,100.8,1678774272,15364199,1
7.78,100.6,1687965696,15364199,1
7.89,100.9,1698238464,15364199,1
8.0,100.7,1708376064,15364199,1
8.11,91.7,1716621312,15364199,1
8.22,109.9,1725272064,15364199,1
8.33,91.5,1735004160,15364199,1
8.44,109.8,1744060416,15364199,1
8.54,100.6,1753792512,15364199,1
8.65,91.4,1766092800,15364199,1
8.76,100.9,1777176576,15364199,1
8.87,100.3,1788125184,15364199,1
8.98,99.6,1792991232,15364199,1
9.09,4127.2,1792991232,15364200,1
9.21,4418.2,1794523136,15364200,1
9.34,6165.8,1809252352,15364200,1
9.46,5525.5,1862676480,15364200,1
9.58,1008.3,1878421504,15364200,1
9.69,100.4,1891938304,15364200,1
9.8,100.5,1904373760,15364200,1
9.91,100.8,1911267328,15364200,1
10.02,100.6,1919918080,15364200,1
10.23,95.5,1935732736,15364200,1
10.44,105.0,1953169408,15364200,1
10.65,100.4,1973579776,15364200,1
10.86,95.5,1990881280,15364200,1
11.07,105.0,2009534464,15364200,1
11.28,95.3,2027241472,15364200,1
11.49,99.9,2043191296,15364200,1
11.7,99.6,2061168640,15364200,1
11.91,100.3,2079956992,15364200,1
12.12,100.2,2103205888,15364200,1
12.33,100.3,2123886592,15364200,1
12.54,2664.8,2123886592,15364200,1
12.76,4755.4,2124316672,15364200,1
12.98,4753.6,2131210240,15364200,1
13.2,100.1,2155675648,15364200,1
13.41,99.4,2171355136,15364200,1
13.62,100.0,2185682944,15364200,1
13.83,105.0,2204471296,15364200,1
14.04,100.3,2220826624,15364200,1
14.25,100.3,2238128128,15364200,1
14.46,95.6,2253672448,15364200,1
14.66,105.0,2270162944,15364200,1
14.87,95.4,2287058944,15364200,1
15.08,100.3,2306252800,15364200,1
15.29,100.2,2325311488,15364200,1
15.5,526.6,2329907200,15364200,1
15.72,5359.1,2329907200,15364200,1
15.94,4991.1,2333151232,15364200,1
16.16,99.8,2354778112,15364200,1
16.37,100.2,2372890624,15364200,1
16.58,100.2,2393030656,15364200,1
16.79,100.1,2411548672,15364200,1
17.0,100.4,2430201856,15364200,1
17.21,100.3,2447097856,15364200,1
17.42,100.3,2465615872,15364200,1
17.63,100.2,2483322880,15364200,1
17.84,2583.2,2484809728,15364200,1
18.05,4753.4,2484809728,15364200,1
18.28,2275.1,2501570560,15364200,1
18.49,100.3,2518196224,15364200,1
18.7,100.1,2534010880,15364200,1
18.91,99.9,2551042048,15364200,1
19.12,99.6,2567802880,15364200,1
19.33,100.2,2584563712,15364200,1
