Program,Dataset,Engine,Workers,Status,Median_Runtime,Std_Dev,Sample,Plan
bipartite,mag,ddlog,4,DNF,,,,
bipartite,mag,ddlog,64,DNF,,,,
bipartite,mag,recstep,4,CMP,696.41,68.26,10,2
bipartite,mag,recstep,64,CMP,124.39,0.00,5,1
bipartite,netflix,ddlog,4,CMP,258.42,2.55,3,3
bipartite,netflix,ddlog,64,CMP,193.75,2.73,4,4
bipartite,netflix,recstep,4,CMP,59.22,6.03,6,3
bipartite,netflix,recstep,64,CMP,14.28,0.52,10,4
bipartite,roadca,ddlog,4,DNF,,,,
bipartite,roadca,ddlog,64,DNF,,,,
bipartite,roadca,ddlog,120,DNF,,,,
bipartite,roadca,recstep,4,CMP,222.72,2.29,16,4
bipartite,roadca,recstep,64,CMP,210.03,20.83,16,4
bipartite,roadca,recstep,120,CMP,225.33,-1.00,1,1
borrow,borrow,ddlog,4,CMP,648.47,6.47,3,3
borrow,borrow,ddlog,64,CMP,538.13,42.96,3,3
borrow,borrow,recstep,4,TOUT,,,,
borrow,borrow,recstep,64,DNF,,,,
cc,arabic,ddlog,4,TOUT,,,,
cc,arabic,ddlog,64,TOUT,,,,
cc,arabic,recstep,4,DNF,,,,
cc,arabic,recstep,64,DNF,,,,
cc,arabic,souffle-cmpl,4,DNF,,,,
cc,arabic,souffle-cmpl,64,DNF,,,,
cc,livejournal,ddlog,4,CMP,204.86,12.95,27,4
cc,livejournal,ddlog,64,CMP,116.37,5.54,33,4
cc,livejournal,recstep,4,DNF,,,,
cc,livejournal,recstep,64,DNF,,,,
cc,livejournal,souffle-cmpl,4,DNF,,,,
cc,livejournal,souffle-cmpl,64,DNF,,,,
cc,orkut,ddlog,4,CMP,317.09,14.96,26,4
cc,orkut,ddlog,64,CMP,181.76,3.21,26,4
cc,orkut,recstep,4,DNF,,,,
cc,orkut,recstep,64,DNF,,,,
cc,orkut,souffle-cmpl,4,DNF,,,,
cc,orkut,souffle-cmpl,64,DNF,,,,
cc,twitter,ddlog,4,TOUT,,,,
cc,twitter,ddlog,64,TOUT,,,,
cc,twitter,recstep,4,DNF,,,,
cc,twitter,recstep,64,DNF,,,,
cc,twitter,souffle-cmpl,4,DNF,,,,
cc,twitter,souffle-cmpl,64,DNF,,,,
crdt,crdt,ddlog,64,CMP,29.57,0.69,4,4
crdt,crdt,recstep,64,TOUT,,,,
csda,httpd,ddlog,4,CMP,27.20,1.20,38,2
csda,httpd,ddlog,64,CMP,22.04,3.09,30,2
csda,httpd,recstep,4,CMP,71.30,1.53,36,2
